NVIDIA DGX H100 (8x H100-SXM-80GB, TensorRT)	H100-SXM-80GBx8_TRT	NVIDIA	closed	datacenter	N/A	available	1	Intel(R) Xeon(R) Platinum 8480C	2	56				32x 64GB MTC40F2046S1RC48BA1	2 TB	2 TB SSD, 5 TB CIFS	NVMe SSD, CIFS mounted disk storage	Infiniband	N/A	8	NVIDIA H100-SXM-80GB		N/A	18x 4th Gen NVLink, 900GB/s		80 GB	HBM3		Air-cooled		TensorRT 9.3.0, CUDA 12.2	Ubuntu 20.04.4	TensorRT 9.3.0, CUDA 12.2, cuDNN 8.9.6, Driver 535.129.03, DALI 1.28.0															
NVIDIA DGX H100 (1x H100-SXM-80GB, TensorRT)	H100-SXM-80GBx1_TRT	NVIDIA	closed	datacenter	N/A	available	1	Intel(R) Xeon(R) Platinum 8480C	2	56				32x 64GB MTC40F2046S1RC48BA1	2 TB	2 TB SSD, 5 TB CIFS	NVMe SSD, CIFS mounted disk storage	Infiniband	N/A	1	NVIDIA H100-SXM-80GB		N/A	18x 4th Gen NVLink, 900GB/s		80 GB	HBM3		Air-cooled		TensorRT 9.3.0, CUDA 12.2	Ubuntu 20.04.4	TensorRT 9.3.0, CUDA 12.2, cuDNN 8.9.6, Driver 535.129.03, DALI 1.28.0															
NVIDIA DGX H100 (2x H100-SXM-80GB, TensorRT)	H100-SXM-80GBx2_TRT	NVIDIA	closed	datacenter	N/A	available	1	Intel(R) Xeon(R) Platinum 8480C	2	56				32x 64GB MTC40F2046S1RC48BA1	2 TB	2 TB SSD, 5 TB CIFS	NVMe SSD, CIFS mounted disk storage	Infiniband	N/A	2	NVIDIA H100-SXM-80GB		N/A	18x 4th Gen NVLink, 900GB/s		80 GB	HBM3		Air-cooled		TensorRT 9.3.0, CUDA 12.2	Ubuntu 20.04.4	TensorRT 9.3.0, CUDA 12.2, cuDNN 8.9.6, Driver 535.129.03, DALI 1.28.0															
NVIDIA DGX H100 (8x H100-SXM-80GB, MaxQ, TensorRT)	H100-SXM-80GBx8_TRT_MaxQ	NVIDIA	closed	datacenter	N/A	available	1	Intel(R) Xeon(R) Platinum 8480C	2	56				32x 64GB MTC40F2046S1RC48BA1	2 TB	2 TB SSD, 5 TB CIFS	NVMe SSD, CIFS mounted disk storage	Infiniband	N/A	8	NVIDIA H100-SXM-80GB		N/A	18x 4th Gen NVLink, 900GB/s		80 GB	HBM3		Air-cooled		TensorRT 9.3.0, CUDA 12.2	Ubuntu 20.04.4	TensorRT 9.3.0, CUDA 12.2, cuDNN 8.9.6, Driver 535.129.03, DALI 1.28.0															
